identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19330113-0,Friday,13-JAN-1933,-,A1, En route (ENR),Poix-de-Picardie,France,6,0, Damaged beyond repair,-,Lioré et Olivier 213,-,-,1928,-,-, F-AJNS, 7,Air Union,International Scheduled Passenger,-,Paris-Le Bourget Airport,LBG,LFPB,France,-,-,-,-,1,5,0,0,-,-,-
19330114-0,Saturday,14-JAN-1933,-,A1, Maneuvering (MNV),"Newark, NJ",United States of America,2,2, Damaged beyond repair,-,Curtiss Condor 18,-,-,-,-,-, NC185H, G1,Eastern Air Transport,Test,-,Newark Airport,EWR,KEWR,United States of America,-,-,-,-,2,0,2,0,-,-,-
19330124-0,Tuesday,24-JAN-1933,-,A1, Takeoff (TOF),"Eugene, OR",United States of America,3,2, Damaged beyond repair,-,Ford 5-AT-D Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1931,-,-, NC431H, 5-AT-098,Pacific Air Transport,Cargo,-,Eugene Airport,EUG,KEUG,United States of America,-,-,-,-,3,0,2,0,-,-,-
19330210-0,Friday,10-FEB-1933,-,A1, En route (ENR),"Bakersfield, CA",United States of America,9,0, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9666, 5-AT-025,TWA,Domestic Scheduled Passenger,-,San Francisco Municipal Airport,SFO,KSFO,United States of America,-,-,-,-,2,7,0,0,-,-,-
19330322-0,Wednesday,22-MAR-1933,-,A1, Takeoff (TOF),"Virginia Beach, VA",United States of America,14,0, Damaged beyond repair,-,Ford JR-3 (5-AT-C) Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1930,-,-, A8599, 5-AT-083,USMC,Military,-,-,-,-,-,-,-,-,-,1,13,0,0,-,-,-
19330328-0,Tuesday,28-MAR-1933,14:30,A1, En route (ENR),near Diksmuide,Belgium,15,15, Destroyed, Written off (damaged beyond repair),Armstrong Whitworth Argosy II,3,Armstrong Siddeley Jaguar IVA,1928,-,-, G-AACI, AW.363,Imperial Airways,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,3,12,3,12,-,-,-
19330331-0,Friday,31-MAR-1933,-,A1, Unknown (UNK),"11 km (6.9 mls) from  Neodesha, KS",United States of America,13,7, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC7686, 4-AT-44,Private,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,11,2,5,-,-,-
19330527-0,Saturday,27-MAY-1933,-,A1, Unknown (UNK),Zechliner Hütte,Germany,-,-, Damaged beyond repair,-,Junkers Ju-52/1mcai,3,BMW Ixau,1932,-,-, D-2356, 4005,RDL,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19330602-0,Friday,02-JUN-1933,22:00,O1, Standing (STD),"Hempstead-Roosevelt Field, NY",United States of America,0,0, Damaged beyond repair,-,Ford 4-AT-E Tri-Motor,3,Wright J-6-9 Whirlwind,1929,-,-, NR9614, 4-AT-57,Plane Speaker Corporation,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19330811-0,Friday,11-AUG-1933,19:00,A1, En route (ENR),5 km (3.1 mls) off  Valencia,Spain,6,0, Damaged beyond repair,-,Dornier Do R4 Superwal,-,-,1928,-,-, I-RATA, 145,SANA,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,1,5,0,0,-,-,-
19330813-0,Sunday,13-AUG-1933,-,U1, Unknown (UNK),at an unknown location,Russia,-,-, Damaged beyond repair,-,Junkers PS-5 (G.24),-,-,1926,-,-, CCCP-L743, 938,Dobrolet,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19330829-0,Tuesday,29-AUG-1933,01:00,A1, En route (ENR),"near Quay, NM",United States of America,5,5, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1928,-,-, NC9607, 5-AT-005,TWA,Domestic Scheduled Passenger,-,Amarillo-English Field,AMA,KAMA,United States of America,-,-,-,-,2,3,2,3,-,-,-
19330921-0,Thursday,21-SEP-1933,-,A1, Unknown (UNK),"Newark, NJ",United States of America,-,-, Damaged beyond repair,-,Curtiss T-32 Condor II,-,-,-,-,-, NC12373, 34,Eastern Air Transport,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19331018-0,Wednesday,18-OCT-1933,-,A1, En route (ENR),Managua,Nicaragua,3,3, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC4806, 4-AT-18,Private,Executive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19331116-0,Thursday,16-NOV-1933,09:00,A1, En route (ENR),near Beauvais,France,2,0, Destroyed, Written off (damaged beyond repair),Lioré et Olivier 213,-,-,1926,-,-, F-AIFD, 1,Air France,Cargo,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19331121-0,Tuesday,21-NOV-1933,-,A1, En route (ENR),near Kharkov,Ukraine,20,14, Damaged beyond repair,-,Kalinin K-7,-,-,1933,8.0,-, registration unknown,-,Kalinin Design Bureau,Test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
19331124-0,Friday,24-NOV-1933,-,A1, Unknown (UNK),León,Mexico,-,-, Damaged beyond repair,-,Fokker F.10A,-,-,-,-,-, X-ABEA, 1014,Aerovías Centrales,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
