identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19440822-4,Tuesday,22-AUG-1944,-,A1, Unknown (UNK),"22 km (13.8 mls) E of Salt Lake City Municipal Airport, UT (SLC)",United States of America,-,-, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, 41-18507, 4599,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440822-5,Tuesday,22-AUG-1944,-,A1, Unknown (UNK),off British Columbia,Canada,3,0, Damaged beyond repair,-,Douglas Dakota III (DC-3),-,-,1943,-,-, FZ596, 12151,RCAF,Military,-,-,-,-,-,-,-,-,-,3,0,0,0,-,-,-
19440823-0,Wednesday,23-AUG-1944,-,A1, Unknown (UNK),near Yanki,China,11,11, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, 43-15381, 19847,USAAF,Military,-,Kunming-Wujiaba Airfield,KMG,ZPPP,China,-,-,-,-,-,-,-,-,-,-,-
19440823-2,Wednesday,23-AUG-1944,-,A1, Unknown (UNK),"Unknown, China-Burma-India area",Unknown country,-,-, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),-,-,1944,-,-, 43-15380, 19846,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440824-0,Thursday,24-AUG-1944,-,A1, Unknown (UNK),8 km (5 mls) SE of Yupanga,Myanmar,-,-, Damaged beyond repair,-,Curtiss C-46A-35-CU Commando,2,Pratt & Whitney R-2800-51,1944,-,-, 42-3632, 26765,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440824-1,Thursday,24-AUG-1944,-,A1, Unknown (UNK),off Land's End,United Kingdom,-,-, Damaged beyond repair,-,Douglas C-47A-70-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, 42-100636, 19099,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440824-2,Thursday,24-AUG-1944,-,A1, Unknown (UNK),at an unknown location,Brazil,-,-, Damaged beyond repair,-,Lockheed 18-10-01 Lodestar,-,-,1941,-,-, PP-PBJ, 18-2116,Panair do Brasil,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440824-3,Thursday,24-AUG-1944,-,A1, Unknown (UNK),ca 45 km NE of Imphal,India,6,6, Damaged beyond repair,-,Douglas Dakota III (DC-3),-,-,1943,-,-, FZ644, 12202,RAF,Military,-,-,-,-,-,-,-,-,-,6,0,6,0,-,-,-
19440824-4,Thursday,24-AUG-1944,-,A1, Unknown (UNK),Agartala,India,-,-, Damaged beyond repair,-,Douglas Dakota III (DC-3),-,-,1943,-,-, FZ550, 12084,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19440825-0,Friday,25-AUG-1944,-,A1, Unknown (UNK),Chengkung,China,-,-, Damaged beyond repair,-,Curtiss C-46A-30-CU Commando,2,Pratt & Whitney R-2800-51,1943,-,-, 42-3566, 26699,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
